序号,标题,,风险等级,涉及企业,平台风险标签,风险标签误判分析,内容
1,【行业要闻】保险业新闻资讯直通车,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/7573308658272804726/public?similar=E95CC58FC562C76E400D17EE0A197534,高度风险,中国人民财产保险股份有限公司,客户信用风险,“客户”一词造成干扰，导致误判“客户信用风险”标签,"1
全力应对南方汛情 人保财险已赔付6.71亿
6月以来，我国南方地区暴雨洪水集中频繁发生，部分地区洪涝灾害严重。全国共有433条河流发生超警以上洪水，其中109条河流发生超保洪水，33条河流发生超历史洪水；长江、黄河上游、珠江流域西江和北江、太湖先后发生1号洪水。截至目前，人保财险已完成赔付6.71亿元，累计结案37721笔。
2
泰康“世纪圣典小镇”即将上线
泰康第十九届世纪圣典即将拉开帷幕。本届世纪圣典首次在线上举办，7月21日“世纪圣典小镇”将正式上线，面向全社会开放，邀请所有人由泰康保险顾问提供的种子链接，登录圣典小镇参与活动，打造泰康保险精英与客户相聚的线上“嘉年华”。小镇以线上小程序形式全方位展示泰康，更有丰富活动和沉浸式体验。
3
广东人保财险：助力复工复产护航经济民生显成效
面对新冠肺炎疫情带来的严峻考验和复杂多变的市场环境，在广东银保监局的领导下，广东人保财险坚持贯彻落实广东银保监局的各项举措部署，迎难而上，加快推动企业复工复产，全力服务实体经济，抓好“龙舟水”灾后理赔，取得了良好的成效。
今年上半年，广东人保财险实现保费收入179.7亿元，为24万企业客户、826万个人客户提供了超28万亿元的风险保障。在广东“5.22”暴雨大灾过后，处理暴雨赔案2.3万件，赔付近7亿元。
4
太平资产成功注册保险行业首单储架式供应链ABS
近日，太平资产“太平——一方供应链资产支持计划1号”在中保登成功注册发行。此单ABS是保险行业首单成功注册的储架式供应链ABS，注册规模50亿元。
自监管部门2019年对保险ABS实施注册制管理以来，中保登资产支持计划注册管理工作不断提速，2020年5月，中保登发布《关于资产支持计划分期发行有关事项的通知》，引入储架式发行机制。储架式发行机制的实施，一方面可以简化注册流程，提高审核效率，另一方面可以针对融资方的特点，灵活选择发行时间和发行效率，提高投融双方的资产效率。
5
支付宝保险平台宣布开放宠物鼻纹识别技术
7月20日，支付宝保险平台宣布开放宠物鼻纹识别技术，并联合大地保险、众安保险将这一技术第一次应用于宠物保险。这款“宠物险”目前可接受猫、狗两大类宠物投保。投保时，支付宝保险平台根据鼻纹信息为宠物建立专属电子档案，理赔时，刷鼻纹核实宠物身份就可一键完成理赔。据悉，宠物鼻纹识别技术的识别成功率超过99%，未来还有望运用于城市宠物管理、宠物走失等场景。（上海证券报）
6
中国互联网金融协会召开互联网金融反洗钱专业委员会成立会议暨2020年第一次工作会议
近日，中国互联网金融协会召开了互联网金融反洗钱专业委员会成立会议暨2020年第一次工作会议。据介绍，反洗钱专委会是互金协会理事会下设的专业委员会，主要职责为实施反洗钱自律管理，研究制定互联网金融反洗钱战略、政策和规则，指导推广互联网金融反洗钱相关监管科技和合规科技。
《中国银行保险报》
每日精选
1.7月16日，“因爱而来-守护亲人”北京人寿保险股份有限公司（以下简称“北京人寿”）社会责任云享会正式拉开帷幕。在网络直播如火如荼发展的今天，北京人寿借助这一营销创新的新阵地，进行了一次大胆创新与尝试，在直播间内推出企业社会责任报告。据了解，这份报告中凝聚了这家年轻的保险公司在成立短短几年来，成长的每一个脚印与收获的每一份喜悦。
2.7月20日，浙江省宁波市安全生产委员会宣布启动一般工贸行业安全生产责任保险（以下简称“一般工贸安责险”）推进工作，“宁波市安责险风险防控服务中心”揭牌仪式也同时举行。与普通工伤保险相比，宁波市一般工贸安责险是商业保险且具有事故预防功能，可以同工伤保险赔偿叠加赔付，由保险公司为投保单位提供事故预防服务，帮助企业查找风险隐患，提高安全管理水平，从而有效防止生产安全事故的发生。投保单位按照安责险请求的经济赔偿，不影响其人员依法请求工伤保险赔偿的权利。
（来源：中国银行保险报、中国保险网络大学、慧保天下）
整理编辑：甘肃省保险行业协会
声明：本公众号转载文章来自网络，文章内容仅属作者个人观点，不代表本号立场。我们已注明出处，其版权和文责属原作者所有。感谢作者的辛苦付出，如果出处有误或不希望转载，请联系我们，我们会及时处理。"
2,甘洛：以返贫责任险提高风险保障水平 助力脱贫攻坚,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/2042782772741177772/public?similar=6F7DAF21733696AEDC4E1F363FBB01A9,高度风险,中国人民财产保险股份有限公司,市场需求风险/稳定风险/客户信用风险,"“需求”一词造成干扰，导致误判“市场需求风险”标签；
“效率”一词造成干扰，导致误判“稳定风险”标签；
“客户”一词造成干扰，导致误判“客户信用风险”",近日，在得知甘洛县阿嘎乡因连日暴雨导致洪水在7月11日倒灌入村民家中。甘洛县人保财险公司主动与县乡政府衔接，带领公司理赔查勘人员前往阿嘎乡乃乌村乃看望受灾情况，核实受灾损失，根据受灾程度的不同给予生活救助。经初步核实，此次受灾预计赔付金额为12万余元。阿嘎乡乃巫村挖五组村民吉克铁打子于2017年脱贫，在今年，因6.11暴雨灾害事故造成房屋被冲毁，家中能繁母猪被冲走一头。因不清楚自己曾购买了返贫责任险和能繁母猪保险，所以出险后没有向保险公司报案。得知这一情况，人保财险公司经了解核实后，给予生活救助金 1万元，并支付能繁母猪赔款1500元。据了解，返贫责任险针对建档立卡贫困人口定向服务，提供涵盖生产生活的全方位风险保障方案，防止贫困人口因病、因灾、致贫返贫，提高扶贫对象精准性，提高风险保障水平，增强贫困人口“造血”功能，有利于实现精准扶贫、精准脱贫目标。充分体现了甘洛县委、县政府为甘洛县贫困建卡户购买返贫责任险的实际意义。通过发挥保险的杠杆作用与积累效应，从时间和空间两个维度上分散风险，提升政府应对灾害救助的能力和效率。为推行农业保险高质量发展的工作需求，提高客户服务能力，推行保险+服务的模式，人保财险甘洛支公司一行还深入云浩丰登农业发展有限公司看望受灾后的生产恢复情况。据悉，云浩丰登农业发展有限公司在人保财险公司投保了特色农业保险。6.11暴雨灾害事故造成云浩丰登农业发展有限公司部分大棚蔬菜受灾，人保财险公司第一时间进行现场查勘，定损，并及时支付了3万元赔款，使企业早日恢复生产，减少因自然灾害引发的损失。真正体现了金融保险业助力脱贫攻坚的重大意义。（阿木举沙）
3,【九江零距离】车辆行驶途中泡水熄火 保险公司回应：按全损39.5万赔付,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/7975759123331619709/public?similar=E95CC58FC562C76E400D17EE0A197534,高度风险,中国人民财产保险股份有限公司,集团管控风险/对外担保风险/客户信用风险/关键人才流失风险/组织结构风险,五个风险标签对应的干扰词依次为：分公司/保额/客户/经理/经理,"车辆行驶途中泡水熄火 保险公司回应：按全损39.5万赔付
近日，市民张先生向我们栏目记者打来电话反映，前段时间由于强降雨天气，九江城区出现大面积内涝，导致他的车辆在行驶的过程中出现了泡水情况，当他找到保险公司沟通赔偿时，对方的答复让他觉得十分不合理。
据张先生介绍，事情还得从7月8号那天说起。市民 张弘宇：“我们早上7点多钟的时候来接考生，接田家炳学校的考生住校考生去同文中学考试，因为这边积水比较深，我们一台车，新的车奔驰E300的车，就被陷到（水）里面了，水已经淹过车门了，然后车子熄火了。”
车子熄火后，张先生立即电话联系了保险公司，保险公司的救援车辆也迅速地赶到了现场。市民 张弘宇：“因为积水太深，然后他们拖不走，救援车进来也会熄火，然后就说把我车放在这泡着，到了第二天7月9号中午一点多钟的时候，才有救援车过来把车子叉出去，然后拖到了人保的停车场。”
事后，保险公司跟张先生沟通，车子有两种赔偿方案，第一种方案就是帮张先生帮车子维修好，第二种方案则是保险公司赔付张先生车辆的购车金额。考虑到车辆泡水经后会出现很多问题，张先生选择了第二种赔偿方案。市民 张弘宇：“裸车是花了43万多，然后全部弄好是花了47万多，当时我们买了全保，也买了涉水险，因为当时买车的发票开的金额是395100元，现在跟保险公司沟通、交涉，保险公司就说帮我们这台车定全损，但是它的赔偿金额就只能赔到35万多一点。”
张先生说，车辆既然被保险公司定为全损，赔偿的金额为何与全损金额不符？为了了解情况，记者随后联系到了张先生所投保的这家“中国人民财产保险股份有限公司九江分公司”理赔中心分部经理万平，万经理给予了解释。中国人民财产保险股份有限公司九江分公司分部经理 万平：“当时那个水太深，跟客户做了沟通，如果开过去的话拖车也会被淹掉，一直等这个水退了到安全的时候，我们才把这个车及时拖到指定的停车场。”
针对张先生所说车辆赔偿金额只有35万时，万经理也给予了答复。中国人民财产保险股份有限公司九江分公司分部经理 万平：“水淹至仪表盘以上的话，给予这个车全额全损，保多少我们赔多少，但是我们跟客户解释，车子确实达不到全损的要求，如果你实在要全损的话，这个要求额度达不到，要不然你就降产处理。”
万经理表示，当时他们和张先生经过了多次沟通，张先生表示自己的车买了没多久，而且车辆泡水确有原因，希望保险公司能够按车辆全损赔付。中国人民财产保险股份有限公司九江分公司分部经理 万平：“7月8日是高考，这个客户确实是把他的私家车作为高考爱心送考的车途中被水淹的，我们总经理也跟省公司汇报了这个问题，然后我们集体开了个会，表决同意车子最后还是按保额395000元给他赔付。”
长
按
解
锁
解锁更多精彩内容
新闻热线：0792-8135668
首播时间：20：00
重播：22：30
次日重播：7:00 9:00 12:30 14:00 16:00"
4,苏州人保暴雨案件理赔实录:风来雨倾全无惧，科技理赔显威力,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/9039108458728324336/public?similar=E95CC58FC562C76E400D17EE0A197534,高度风险,中国人民财产保险股份有限公司,技术停滞落后风险/资金短缺风险/客户信用风险/社会责任风险,四个风险标签对应的干扰词依次为：技术/财产/客户/报案,"入梅以来，苏州连续出现强降雨天气，尤其是7月6日，苏州气象台发布暴雨橙色预警信号，政府也发布了《启动防汛Ⅳ级应急响应通知》,苏州部分低洼地区受灾情况严重，多处车险客户报案反映存在车辆进水现象，苏州人保财险理赔中心进入紧急应战状态。
“你好，我的车经过涵洞时进水了，现在车辆熄火了，能不能来帮我看一下？”6月28日中午，在接到客户报案后的十分钟，人保理赔人员已经冒雨火速赶达现场。赶到现场的第一时间，理赔人员首先安抚了客户，并在确定车辆没有再次启动后，叫来拖车将客户车辆送至4S店检测。“我的车是不是要拆开才能看进水情况啊，要很久吗？”“先生，我们现在使用的是AIT检测技术，不用拆开车辆，现场就能检查涉水及故障情况的。”高科技查勘技术来助力，短短几分钟就完成了受损车辆的查勘，检测结果为客户车辆仅变速箱和发动机进水，损失不大，全程查勘时间一共只用了半个小时。当天下午四时，1万元赔款就已打到客户账户，从报案到赔款结案，全程不到四个小时，理赔中心高效、创新的服务收到了客户的大力称赞。
车辆进水可能会导致汽车核心部件-发动机的损坏，而发动机更换和维修往往会降低车辆本身价值，为保障客户权益，苏州人保财险理赔中心接到险情后，往往火速派出携带科技理赔装备的查勘定损员前往现场和各维修单位，及时检测和固定车辆情况，保障客户财产权益，为客户排忧解难。
自6月28日起，大案组科技理赔团队便开始往返各大4S店检测车辆发动机有无损失。他们运用高清旋转内窥镜检测气缸壁是否存在受损情况，以及苏州人保财险独有的发动机连杆测量仪检测连杆是否存在弯曲现象。期间共检测了9台承保了发动机涉水损失险的发动机进水车辆，发现其中5台车辆缸壁完好，连杆数据误差在0.04CM以内，最后成功排水启动，减少损失共计675596元，保障了客户的权益。
苏州人保财险的查勘定损员们风里来雨里去，默默赶赴现场，利用专业知识和有温度的服务安抚了客户发生险情后的焦躁情绪，并快速为客户排忧解难，在暴雨中展现了人保人吃苦耐劳、专业胜任的理赔铁军精神。
（人保财险）"
5,暴雨来袭 人保财险宜春市分公司为农户送去一份心安(图),https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/2291065359370579108/public?similar=E95CC58FC562C76E400D17EE0A197534,高度风险,中国人民财产保险股份有限公司,执行力风险/稳定风险,“人员*查勘工作”词组造成干扰，导致误判“执行力风险”和“稳定风险”标签,"中国江西网/宜春头条客户端讯
周蕾
报道：近日，宜春遭受今年以来最强降雨，连日暴雨导致大量农田被淹，农户水稻损失严重。“灾情就是命令”，人保财险宜春市分公司紧急部署，第一时间启动农险救灾应急预案，组织市县两级联动开展抗汛救灾工作，集中人员力量奔赴灾情严重的区县进行农险查勘工作。同时，依托农村网点优势，组织网点工作人员和协保员对散户受灾情况进行统计；及时开通农险理赔绿色通道，简化理赔流程，切实维护农户利益，为农户送去心安。
7月9日，人保财险高安支公司工作人员前往受灾的村前镇进行查勘工作
7月10日，人保财险工作人员前往受灾一线进行查勘工作
据了解，宜春丰城、樟树、高安、上高、宜丰等5个县(区)农险受灾情况较为严重。经统计，截至日前，全市累计接收农户水稻案件报案1169件，后续工作正在有序进行中。"
6,武汉一种业公司为菜农购买天气指数保险,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/-719209410033228553/public?similar=E95CC58FC562C76E400D17EE0A197534,高度风险,中国人民财产保险股份有限公司,集团管控风险,“分公司”一词造成干扰，导致误判“集团管控风险”标签,湖北日报讯（通讯员项俊平、涂妍）“免费蔬菜天气指数保险，减少损失，帮了大忙。”近日，钟祥市旧口镇种菜大户胡永平在接受人保财险湖北省分公司电话回访时说，多亏种业公司为其提供了一份特别保障。胡永平说的是武汉亚非种业公司。从2019年起，武汉亚非种业公司出资，给湖北区域近千户菜农种植的3万亩亚非系列西兰花、亚非旺旺系列甘蓝免费提供天气指数保险。凡符合高温、低温、连阴雨承保范围的，经中国人民财产保险公司审验核定后，每亩可获得1000元赔付。去冬今春以来，胡永平种植的几百亩亚非甘蓝、西兰花因连阴雨天气灾害，遭受了一些损失。经申请，他得到3.5万余元的天气保险赔付款，成为此次获得赔付款较高的种植户之一。据了解，此次赔付是因阴雨天气原因达到了人保公司商业性蔬菜天气指数保险条款约定的触发值。胡永平说，他计划用这笔理赔款购买西兰花、甘蓝等蔬菜种子，进行生产自救。迄今为止，武汉亚非种业为湖北区域种植亚非系列西兰花、亚非旺旺系列甘蓝的种植户免费提供的天气指数保险，经由人保财险湖北分公司核定，共赔付90余万元，目前此笔赔付款已由保险公司直接支付到农户银行卡上。武汉亚非种业有限公司是一家育、繁、推一体化的高端蔬菜种子公司，在中国西兰花、甘蓝、胡萝卜等细分领域中占有一席之地。“保护菜农利益，也是为企业发展蓄力添柴。”公司总经理贺亚菲表示，未来，公司将继续为系列西兰花、亚非旺旺系列甘蓝种植户投保，为农业增产、农民增收保驾护航。
7,我市首例上牌电动车剐蹭轿车后获保险理赔！,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/-9178015336187743762/public?similar=E95CC58FC562C76E400D17EE0A197534,高度风险,中国人民财产保险股份有限公司,集团管控风险,“分公司”一词造成干扰，导致误判“集团管控风险”标签,"电动车酿成交通事故，
无论是电动车撞击他人还是被撞，
处理起来都很麻烦。
如果是电动车的责任，
骑乘者不仅要承担维修费用，
还要付医疗费。
不过对于吴女士来说，
由于已经给电动车上牌、买保险了，
情况就大不相同。
一起去了解一下吧。
△ 上牌电动车剐蹭轿车 全市首例获保险理赔
《生活帮》栏目
100000+
每周一至周五 20:00，孝感生活频道准时播出！热线☎2831234
7月15日上午9点30分左右，吴女士骑乘号牌为孝感105开头的电动自行车在长征路机动车道内直行，与前方一辆正常行驶转弯的轿车尾部相撞。接警后，市公安交通管理局直属一大队民警与保险公司理赔人员第一时间赶赴事故现场。
电动车骑行者 吴女士：
我走的路线(机动车道）不一样，走错了，导致把前面的车子追了尾，所以我以后走正确的路线（非机动车道）。
孝感市公安交通管理局直属一大队事故中队民警 江力：
（电动车）避让不及，把小型车的尾部擦了，油漆擦了，擦了一点，这个电动车在机动车道上走，负整个事故的全部责任。
得知要负全责，车辆损失由她个人承担后，吴女士一脸沮丧，当民警对其电动车号牌进行查询时，发现她已经购买了保险，吴女士便松了一口气，随行的人保财险孝感市分公司的协保员对被撞轿车的损失进行核定。
人保财险孝感市分公司协保员 黄永明：
如果她没有买保险的话，在这次事故中，这个凯迪拉克的维修费用800块钱就由电动车车主全额承担，现在她买了保险，由保险公司可以承担90%，也就是720块钱，她自己只用承担80块钱就可以完美地解决这次事故。
保险公司按照规定对电动车骑行者吴女士进行了理赔，这也是本市自7月1号开展电动车集中登记上牌、买保险后，成功获赔的第一人。
电动车骑行者 吴女士：
不管怎么说，主要买保险是最好的，出现了事情，保险公司给我赔了，赔了解决这个问题，这是最大的幸运。
对于眼下我市正在开展的电动车集中登记上牌工作，无论是电动车骑乘者，还是机动车驾驶人都纷纷叫好。
被撞轿车驾驶人：
电动车推行上牌的举措，还是挺好的，因为起码不管出了什么事故之后，他不会跑了之后找不到人，他有他的车牌，我随时可以找得到他，我觉得这个上牌的举措还是很值得大家去推崇的。
不过，仍有部分市民对电动车上牌、买保险的相关情况不是很清楚，为此保险公司相关负责人进行了解答。
人保财险孝感市分公司副总经理 幸保峰：
市民花150块钱，购买电动自行车的保险，他能够简单直白地获得哪些权益？电动自行车作为一种非机动车代步工具，这个保险承担第三者责任，致人伤亡或死残，10万限额，第三者财产损失1万，然后车上的驾驶人员，包括单方事故自己摔倒，承担责任5000，其中医疗费用2000，第三个呢，承担电动摩托车、电动自行车的整车被盗，不含电瓶的单独被盗，车龄1年以下的，承担1000块钱的赔偿责任，车龄一年以上的含1年，承担800元。
来源：孝感生活
编辑：陆梦阳
编审：黄黎
出品：孝感广播电视台"
8,人保财险莒县支公司迅速启动财险理赔，全力应对风雹灾害,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/-1233646677753193589/public?similar=6F7DAF21733696AEDC4E1F363FBB01A9,高度风险,中国人民财产保险股份有限公司,合规风险,“原则”一词造成干扰，导致误判“合规风险”标签,"大众网·海报新闻记者 李鹏林 日照报道
7月6日下午，莒县碁山、桑园、东莞、安庄、库山招贤等部分乡镇出现短时间冰雹和大风，面对突发灾情，人保财险莒县支公司高度重视，科学安排，快速反应，对抗灾减损工作进行了沟通部署，紧急成立三个工作小组，第一时间赶赴受灾现场，查看受灾情况，并进行抗灾减损、理赔查勘工作。
人保财险莒县支公司全体人员快速反应，迅速启动灾害应急预案，全面投入查勘理赔工作。为加快对事关民生的政策性农险的理赔服务，莒县支公司全员放弃休息日，第一时间分组赶赴受灾现场，开展查勘定损工作。据了解，此次农户种植的苹果、露地桃、玉米、花生等农作物受灾严重。
人保财险莒县支公司一方面按照快速查勘、快速定损、快速理赔的原则，做好受灾农户的安抚工作，给农户吃了一颗“放心丸”，让政府放心，让群众满意。另一方面建立理赔绿色通道，提升理赔服务水平和理赔效率，加快对事关民生、政策性农业保险案件的赔付。
“俺这桃子全都让冰雹给砸伤了，掉了一地，看着也挺心疼的，那时候幸亏买了人保的保险，让俺这损失降到了最低，人保这工作人员的服务态度也非常好，一直安慰我们，这样我们也就放心了。”莒县招贤镇桃农陈大爷说。
据统计，苹果、露地桃受灾累计300余亩，保险预计赔偿60余万元，理赔工作正在有条不紊地进行中。"
9,情系三农“人”心齐，度汛安民“保”安澜——人保财险湖北省分公司迎战暴雨洪涝灾害,https://qi.peopleopen.cn/#/colligate-search/70291dadc0f1646c62fc6d434a3869a5/article/-1243680379220445885/public?similar=6F7DAF21733696AEDC4E1F363FBB01A9,中度风险,中国人民财产保险股份有限公司,执行力风险/集团管控风险/企业文化建设风险/稳定风险/销售渠道风险,五个风险标签对应的干扰词或词组依次为：人员*工作/分公司/理念/领导*工作/渠道,"""""入汛以来，多轮强降雨接踵而至，湖北省多地出现洪涝地质灾害，农作物、牲畜、水产等农产品遭受损失，防汛形势十分严峻。面对灾害天气，人保财险湖北省分公司各级机构毅然前行，尽锐出战，全力以赴做好农业保险理赔查勘和抗灾救灾工作。<br/><img src=""http://i2.hexun.com/2020-07-21/201739526.jpg""><br /><br />严阵以待，强化组织保障，压实条线责任“链”面对灾情，全省各级机构迅速启动大灾应急预案，成立了以主要负责人为组长的灾情处置领导小组，分片进入各县（市）区开展现场指导，安排部署全省系统防汛抗洪、救灾理赔工作。领导小组下设工作专班，研究制定农业保险暴雨洪涝灾害查勘定损实施细则，实行“统一领导、统一协调、统一标准”，做到早部署、早安排、早行动。截至目前，全省农险条线共成立理赔工作队115个，抽调农险骨干411人次，全力保障农民生命财产安全。<br/><img src=""http://i7.hexun.com/2020-07-21/201739527.jpg""><br /><br /><br/><img src=""http://i9.hexun.com/2020-07-21/201739528.jpg""><br /><br />严防死守，强化科技保障，筑牢风险防控“堤”“防之于未萌，治之于未乱”，人保财险湖北省分公司积极贯彻“防重于赔”的防灾减灾理念，成立灾害信息收集工作小组，衔接农业、气象等政府部门，同步了解灾害信息，通过短信、微信、电话、公司网站、村村响等渠道，及时发布灾害预警信息，提醒农户注意做好灾害应对和防灾防损工作。此外，公司强化了“科技防汛”力度，通过运用自主开发的“惠农保”APP、无人机、GIS等新技术、新手段打好科技“组合拳”，为查勘理赔、防灾防损工作插上“科技之翼”，为实现智慧经营，保障人民财产安全贡献磅礴力量。截至目前，全省已安排查勘车辆200余台次，应用无人机飞航2000余架次，累计投入100余万元防灾防损费用。<br/><img src=""http://i1.hexun.com/2020-07-21/201739529.jpg""><br /><br /><br/><img src=""http://i5.hexun.com/2020-07-21/201739530.jpg""><br /><br />严明纪律，强化机制保障，织密三农服务“网”建立了信息联络和督办机制，各级公司明确专人，定时通报受灾数据，传达工作部署，确保信息通畅。充分发挥农村基层服务网络体系的作用，打通了保险服务农户的“最后一公里”，全方位做好理赔组织和服务保障工作，织密了三农服务的针脚。公司各级机构与当地政府及相关部门密切配合，会同农技人员指导农户迅速自救，最大限度地减少了损失。按照湖北银保监局“三快两应两从”的工作要求，公司积极践行央企社会责任，健全科学精准的查勘定损工作机制，简化理赔手续和材料，做到应赔尽赔、应赔快赔，帮助受灾农户尽快恢复生产。全省自6月1日以来接到因暴雨灾害出险的农险报案10097件，这些案件全部在第一时间完成了初次查勘工作，并在最短的时间预付赔款1554.19万元。责任编辑：董云龙"""""
